Time (s),Roll Rate (deg/s),Pitch Rate (deg/s),Yaw Rate (deg/s),X acc (m/s2),Y acc (m/s2),Z acc (m/s2),Roll (deg),Pitch (deg),Yaw (deg),N pos (m),E pos (m),Elevation (m),GPS Speed (m/s),Airspeed (m/s),Aileron (deg),Elevator (deg),Thrust (normalized),Rudder (deg)
751.64,0.015403,0.060826,0.21898,0.99515,-0.061394,-9.7259,0.091876,1.6672,0,5.782,-4.2901,-0.038807,0.18622,-0.12641,0.057217,1.4019,0,0.041748
751.66,-0.0101,0.054704,0.20634,0.9864,-0.079192,-9.7254,0.10185,1.6522,0,5.782,-4.2918,-0.036908,0.17499,-0.04625,0.066394,1.3943,0,0.041748
751.68,-0.010774,0.058283,0.17182,0.97909,-0.075024,-9.7331,0.1146,1.6345,0,5.7821,-4.2934,-0.03508,0.16376,0.033914,0.075572,1.3867,0,0.041748
751.7,-0.017285,0.089532,0.21651,0.99252,-0.075162,-9.7126,0.13975,1.6043,0,5.7821,-4.2948,-0.033544,0.15253,0.082865,0.08475,1.3791,0,0.041748
751.72,-0.0042584,0.044475,0.22084,0.99631,-0.073337,-9.7162,0.16386,1.5732,0,5.7821,-4.2962,-0.032045,0.14129,0.018926,0.10967,1.3874,0,0.041748
751.74,0.05866,0.049438,0.23076,0.9944,-0.065819,-9.7205,0.18374,1.5385,0,5.782,-4.2974,-0.030689,0.13006,-0.045012,0.20124,1.4632,0,0.041748
751.76,0.094576,0.10643,0.21999,0.98202,-0.059582,-9.7192,0.20538,1.5037,0,5.7819,-4.2986,-0.029457,0.11883,-0.10895,0.29282,1.539,0,0.041748
751.78,0.049087,0.11643,0.24174,0.99467,-0.06229,-9.7318,0.23494,1.4692,0,5.7817,-4.2996,-0.02876,0.10759,-0.17289,0.38439,1.6148,0,0.041748
751.8,0.11652,0.067088,0.18671,1.0053,-0.062361,-9.7302,0.26383,1.4346,0,5.7816,-4.3006,-0.02807,0.096362,-0.22027,0.47597,1.6906,0,0.041748
751.82,0.16042,0.091199,0.19463,0.99132,-0.065376,-9.7139,0.28893,1.3995,0,5.7814,-4.3015,-0.027422,0.085129,-0.20391,0.53838,1.7422,3.98E-05,0.041748
